movieId,title,runtime,releaseDate,rating
90729,The Exorcist (1973),121,1973-12-26T00:00:00,R
78720,Ishtar,107,NA,PG13
1831,Killer of Sheep (1977),80,2025-11-14T00:00:00,Not Rated
97605,Mad Max 2: The Road Warrior,95,NA,R
895,Night of the Living Dead (1990),96,NA,R
92318,Street Trash (1987),85,1987-06-24T00:00:00,Not Rated
23209,The Secret of NIMH,82,1982-07-30T00:00:00,G
720,Cecil B. Demented,88,NA,R
21419,The Wicker Man (1974),94,2006-09-01T00:00:00,R
40853,Carlito's Way,144,NA,R
21183,Dog Day Afternoon,130,NA,R
3604,Cooley High,107,NA,PG
93985,Rad (1986),91,NA,PG
41162,Jagadeka Veerudu Athiloka Sundari (1990),155,1990-05-09T00:00:00,Not Rated
1833,Labyrinth (1986),101,1986-06-27T00:00:00,PG
440,Pee Wee's Big Adventure,90,1985-07-19T00:00:00,PG
2277,Whispers,15,NA,Not Rated
624,Aliens,137,1986-07-18T00:00:00,R
146,The Rocky Horror Picture Show,95,1975-09-29T00:00:00,R
1796,The Elephant Man (1981),125,1981-02-28T00:00:00,PG
71651,Judgment at Nuremberg,186,1961-12-19T00:00:00,Not Rated
22907,Little Shop of Horrors,104,1986-12-19T00:00:00,PG13
83884,Little Buddha (1993),123,1994-05-25T00:00:00,PG
59944,Streets of Fire,98,NA,PG
585,Legend (1985),89,1985-01-16T00:00:00,PG
31720,Legally Blonde,96,NA,PG13
82538,Pride and Prejudice (2005),118,2005-11-23T00:00:00,PG
34656,Mulholland Drive,146,2001-10-08T00:00:00,R
22908,Lost Highway (1997),135,NA,R
93440,The Short Films of David Lynch,0,NA,Not Rated
92686,Phenomena,110,1985-01-31T00:00:00,R
28124,Ferris Bueller's Day Off (1986),103,1986-06-11T00:00:00,PG13
27998,A League of Their Own,126,1992-07-01T00:00:00,PG
19549,The Sandlot (1993),101,NA,PG
752,Dirty Harry,102,1971-01-01T00:00:00,R
37242,2001: A Space Odyssey,139,1968-04-02T00:00:00,G
56573,Mystery Movie,0,NA,Not Rated
654,Princess Mononoke (2001),133,2001-10-19T00:00:00,PG13
20827,Andrei Rublev,165,1973-04-01T00:00:00,R
34120,After Hours,97,NA,R
40111,Viy,78,NA,Not Rat
238603,Lilo & Stitch (2025),108,2025-05-23T00:00:00,PG
238655,Mission: Impossible - The Final Reckoning (2025),169,2025-05-23T00:00:00,PG13
239571,The Last Rodeo (2025),118,2025-05-23T00:00:00,PG
240545,Narivetta (2025),0,2025-05-16T00:00:00,Not Rated
239069,Jane Austen Wrecked My Life (2025),94,2025-05-16T00:00:00,R
240678,Ace (2025),0,2025-05-23T00:00:00,Not Rated
177659,DARK KNIGHT Double Feature,0,NA,Not Rated
238165,Bob Trevino Likes It (2025),103,2025-03-21T00:00:00,PG-13
239564,Japanese Avant-Garde Pioneers (2025),100,2025-05-01T00:00:00,Not Rated
2767,Enter the Dragon,99,1973-10-18T00:00:00,R
1592,Best in Show,90,2000-09-29T00:00:00,PG13
834,Raiders of the Lost Ark (1981),115,1981-06-12T00:00:00,PG
36462,Shock Corridor,101,1963-09-11T00:00:00,Not Rated
240148,Trail of Vengeance (2025),0,NA,Not Rated
95890,A New Leaf,102,NA,G
90877,Howl's Moving Castle,119,NA,PG
116469,Twilight (2008),121,2008-11-21T00:00:00,PG13
1453,Mars Attacks!,103,NA,PG13
40733,Rushmore,93,1999-02-05T00:00:00,R
45863,Punch-Drunk Love,95,NA,R
141306,The Road to the Oscars,0,NA,Not Rated
1951,Vertigo (1958),128,1958-05-09T00:00:00,PG
209174,Hereditary,127,2018-06-08T00:00:00,R
226431,RRR - Rise Roar Revolt (2022),188,2022-03-24T00:00:00,PG13
2333,Jaws,124,1975-06-20T00:00:00,PG
217722,MAGIC (1978),0,NA,Not Rated
2040,Mission: Impossible,110,NA,PG-13
41301,Lilo & Stitch (2002),108,NA,PG
179631,Matisse: From Tate Modern and MoMA,0,NA,Not Rated
238208,Death by Fruitcake (2024),0,NA,Not Rated
240363,My Heart Remembers (2025),0,NA,Not Rated
248,The Iron Giant,86,NA,PG
1462,The Fifth Element,127,NA,PG13
176019,It Follows,100,2015-03-13T00:00:00,R
256,Grease (1978),110,1978-07-07T00:00:00,PG
204608,A Hard Days Night,0,NA,Not Rated
41321,They Live (1988),93,NA,R
192656,The Wailing,156,2016-06-03T00:00:00,Not Rated
31351,Killer Klowns From Outer Space,90,NA,PG-13
240614,E.1027 - Eileen Gray and the House by the Sea (2024),89,2025-11-28T00:00:00,Not Rated
228280,Jane (2022),84,2022-08-26T00:00:00,R
844,Ran,160,1985-06-01T00:00:00,R
324,Muppets From Space,88,NA,G
33940,Mrs. Doubtfire,125,NA,PG
199152,The Lego Ninjago Movie,101,2017-09-22T00:00:00,PG
672,Star Wars: Episode I -- The Phantom Menace,136,1977-05-25T00:00:00,PG
39479,Star Wars: Episode II -- Attack of the Clones,143,NA,PG
240656,Brown Morning (2025),9,2025-05-22T00:00:00,Not Rated
161124,Home (2015),112,2015-03-27T00:00:00,PG
240619,Double Feature: Lilo & Stitch (2025) / Moana 2 (2024),0,NA,Not Rated
195311,Dueling Pianos,0,NA,Not Rated
240691,Double Feature: A Minecraft Movie: The Block Party Edition (2025) / Final Destination Bloodlines (20,0,NA,Not Rated
240690,Double Feature: Lilo & Stitch (2025) / The Day The Earth Blew Up:  A Looney Tunes Movie (2024),0,NA,Not Rated
45412,SLC Punk!,97,NA,R
233551,Hundreds of Beavers (2023),108,2023-03-01T00:00:00,Not Rated
85823,The SpongeBob SquarePants Movie,83,2004-11-19T00:00:00,
